;;Name;Data File;Type;Level;Acq. Date-Time;i-C14:0;a-C14:0;C14:0;i-C15:0;a-C15:0;bohMe C16:0;C15:0;ribohMe C16:0;i-C16:0;7Me C17:0;C16:0;bohMe C17:0 sul284;bohMe C17:0 ;C16:1omega7;ribohMe C17:0;C16:1 omega5 ;i-C17:0;a-C17:0;10Me C18:0;C17:0;bohMe C18:0;C17delta;unk 126;C17:1 omega 9;C18:0;2-OH C14:0;bohMe C19:0;C18:1 omega 9 cis;C18:1 omega 9trans e 7cis;boh C18:1;C18:2;3-OH C14:0;C19:0;C19:0 delta;C20:0;2-OH C16:0;C20:2;cis-11.14-Eicosadienoic acid methyl ester
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B1M.D;Sample;NA;23/06/2017 21:03;3234;76;17461;63850;37775;7270;17862;3719;59219;9836;319808;1899;98981;1736;57293;1722;33668;29915;1389;14245;200;1313;131670;757;2417;8;15115;6773;3512;3408;16361;524;461315;1762;671;70;88;597
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B2M.D;Sample;NA;23/06/2017 21:49;2745;83;22031;57311;32632;7075;10956;2780;53326;9051;408916;1797;90410;784;48693;1343;33135;27235;1545;14224;117;712;87295;216;3552;42;31774;14658;2929;14242;30440;943;447333;1459;629;27;105;253
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2C3M.D;Sample;NA;23/06/2017 22:35;6580;133;18971;73449;36722;8376;9318;3829;48374;8381;188682;1414;62697;710;33361;1230;28887;21365;1436;8165;66;682;172589;60;1488;16;10703;2968;1866;1217;4553;1418;340676;1241;275;17;909;453
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A1M.D;Sample;NA;23/06/2017 23:21;2719;66;5967;33767;15745;3031;4876;1190;24231;3819;108000;885;36056;549;36866;866;15399;12311;481;3455;33;505;129530;260;676;64;22766;1797;1386;1743;3695;520;190114;627;161;19;544;62
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A2M.D;Sample;NA;24/06/2017 00:07;6920;82;31792;65036;30551;5523;10080;1575;39342;6650;240034;1095;62224;718;32410;949;24055;18454;988;7665;14;626;342704;21;1676;37;28223;3804;1768;6061;4395;961;288384;678;309;15;393;374
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4C1M.D;Sample;NA;24/06/2017 00:53;17236;92;85230;108034;65828;11215;19082;4452;70252;11086;462504;1287;77098;3785;55537;2157;27379;24421;574;12008;154;1021;398714;34;2454;65;28599;9349;3127;14218;18232;833;268939;935;454;27;71;795
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO4A3M.D;Sample;NA;24/06/2017 01:39;2737;32;23034;45477;23001;5049;8877;2420;36034;6912;250488;1359;55300;554;44705;954;20745;14470;827;5200;99;666;137029;240;1926;25;41315;3759;1804;7625;6979;664;439997;916;284;75;41;846
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2A2M.D;Sample;NA;24/06/2017 02:25;2374;110;8390;49504;27753;7734;7679;3434;45129;10673;184377;1880;73658;417;24126;1320;30208;24935;1712;8882;86;838;42316;22;1737;24;15747;3408;2396;1746;5312;713;325315;1379;355;70;591;3206
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C3MR.D;Sample;NA;24/06/2017 03:11;7715;85;16657;66087;34382;5583;10577;3130;42366;5524;177276;1153;58271;1952;35181;1181;22645;19526;816;7046;121;847;347236;14;1524;9;18189;3540;2638;3143;13483;1381;319744;936;337;13;200;622
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1MR.D;Sample;NA;24/06/2017 03:57;2112;58;7775;4247;9366;1140;5153;1228;15016;2004;68342;310;20048;512;12248;567;6938;6037;203;2160;17;237;482254;70;604;73;21623;1349;867;371;5613;2452;143908;219;111;37;314;570
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO2B1 M.D;Sample;NA;26/06/2017 09:53;149;30;177;81268;2122;125;685;226;3184;2144;72282;81;426;2026;31453;142;2376;7543;27;801;112;129;669;27;484;22;25639;23;45;1013;763;569;756;39;4120;30;73;914
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 500 M.D;Cal;1;26/06/2017 11:24;182;20;62145;52271;39057;65;58638;174;47854;106;56162;105;424;1603;112;75;47276;654;51;49531;10;1135;500;61;1907;78;35852;3126;3142;3883;18229;33277;46458;1205;2279;308;196;774
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 300 M.D;Cal;2;26/06/2017 12:10;421;29;81055;66684;49642;203;71543;146;56360;99;62181;110;2837;1770;2564;61;49647;111;13;51482;11;1253;687;26;1567;26;5384;2936;2872;14033;16282;38996;42999;1221;2121;162;631;343
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 200 M.D;Cal;3;26/06/2017 12:56;280;46;167823;144994;108277;219;162285;115;141065;60;164970;68;11;4968;8660;8;140564;15;19;151282;8;3699;753;201;5883;237;39205;9334;9319;41111;58794;107466;138240;3550;6001;787;864;682
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 100 M.D;Cal;4;26/06/2017 13:42;336;9;262568;217063;160629;125;229856;23;186710;1439;211111;103;2224;6495;4462;85;183083;2;20;201351;17;4984;1258;455;7066;599;11140;12295;12371;2901;78784;149136;178759;3806;7740;1023;480;847
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;STD BAME DIL 20 M.D;Cal;6;26/06/2017 14:52;3741;57;4798489;3557062;2634969;121;3751477;301;2598206;234;2844419;62;43;86887;50158;289;1961140;59;22;1073174;54;54985;13756;105;88718;11238;24228;113818;113827;504684;933974;2646209;2348031;60239;140995;19613;983;809
!;!;c19 dil 50;STD BAME DIL 50.D;Cal;5;28/06/2017 16:59;962;34;1250668;1019970;758731;146;1096021;38;865169;2684;952163;10;25;26923;29645;15;736351;76;34;730844;41;17276;5081;1901;24153;2816;19891;42327;42364;192410;264178;647446;541916;12820;22610;3470;308;77
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;OO02B1M2016.D;Sample;NA;03/11/2017 20:03;2192;107;6748;18960;9292;987;3486;5488;10631;1073;103536;990;11547;374;22265;29;7623;3206;1118;2445;91;231;18;15;77722;2;25034;6516;256;566;1804;279;625502;24;1548;22;9;434
!;!;2.5 G SUOLO RIPRESO CON 200 UL EPTANO;MIX2016-2E5G.D;Sample;NA;03/11/2017 21:33;19257;222;37030;187596;81465;13832;23067;66858;118052;15462;441010;10977;98516;783;89347;8;70684;54000;13833;21110;1738;2939;50;3;83657;21;96950;11245;1353;875;4906;1086;1106033;34;4531;37;48;231
