"";"MH.1";"MH.2";"Name";"DATA.FILE";"Type";"Level";"INJ.DATE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS"
"25";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9B3M.D";"Sample";NA;2017-06-23 10:31:00;"CO09B3m";"CO";"09";"Rip";"3";100;17096;97;595;74708;120174;84610;12866;17657;77043;12877;925136;109763;4517;215996;40377;2696;34548;17720;911;393;1410420;144501;5228;5247;2711;2923975;32271;595;50195;608618;109;809;735;377
"26";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B2M.D";"Sample";NA;2017-06-23 11:16:00;"CO10B2m";"CO";"10";"Rip";"2";69;8329;334;460;31322;96178;52295;8712;14905;69472;10731;393317;98662;3237;223507;40826;2080;32485;14849;670;95;548252;84809;2900;2953;1475;1889948;27764;426;24189;649756;72;608;583;1344
"27";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A1M.D";"Sample";NA;2017-06-23 12:01:00;"OO02A1m";"OO";"02";"Ara";"1";32;1170;27;96;6806;40665;19505;5036;5294;34824;7421;179111;66650;1839;174368;27813;715;20401;7829;229;159;395828;45244;1584;1578;336;623047;11039;137;4666;486749;119;332;2305;NA
"28";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C1M FORSE.D";"Sample";NA;2017-06-23 12:47:00;"CO09C1m";"CO";"09";"Fzo";"1";49;3017;65;152;15135;48250;26262;5058;8439;41299;6248;211968;57646;2245;145187;23915;1033;20600;9399;356;53;30175;46043;1813;1768;577;881991;23108;334;13254;394164;161;472;450;1333
"29";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A3M.D";"Sample";NA;2017-06-23 13:32:00;"CO09A3m";"CO";"09";"Ara";"3";131;4085;551;1729;38527;68372;34698;7896;5171;39495;7469;439301;80752;2623;151001;29703;1255;22304;11011;294;15;261662;93416;3416;3435;2363;2741000;20223;178;24722;589538;77;674;1701;7629
"30";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4B3M.D";"Sample";NA;2017-06-23 14:18:00;"OO04B3m";"OO";"04";"Rip";"3";27;1460;221;17195;33084;68001;39255;6948;14109;66501;11518;524405;95185;2662;274233;43209;2059;35402;18122;83;97;916310;124462;4356;4297;2147;2761356;24945;534;29334;559001;276;995;507;2981
"31";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10A1M.D";"Sample";NA;2017-06-23 15:03:00;"CO10A1m";"CO";"10";"Ara";"1";79;11330;34;706;65433;89363;45830;5355;9056;53771;9526;343809;71959;2859;171503;26439;1354;20115;10174;27;22;1675757;57708;2392;2397;1003;1333143;17154;220;13254;446166;58;423;1007;2951
"32";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A3M.D";"Sample";NA;2017-06-23 15:49:00;"OO02A3m";"OO";"02";"Ara";"3";49;1207;26;109;5123;26871;13398;1949;3955;23205;4723;120951;41396;965;63269;18919;604;13685;5319;57;73;20502;33397;1367;1393;204;495848;8313;71;4443;358668;72;254;766;319
"33";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A1M.D";"Sample";NA;2017-06-23 18:45:00;"CO09A1m";"CO";"09";"Ara";"1";69;6567;50;360;29975;86525;41407;8761;13474;52883;10383;362235;85045;2320;201184;32823;1614;24162;11662;354;60;897118;64344;2582;2616;1019;1310296;18834;249;43658;613937;115;603;1040;1184
"34";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C2M.D";"Sample";NA;2017-06-23 19:31:00;"CO10C2m";"CO";"10";"Fzo";"2";85;10149;49;711;53001;105937;65061;9523;19268;85637;11804;595894;113643;4344;280500;47526;2352;41035;16968;191;38;1058181;125239;5088;5082;2816;3326648;41821;751;37418;489033;2567;979;2216;1178
"35";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C2M.D";"Sample";NA;2017-06-23 20:17:00;"OO04C2m";"OO";"04";"Fzo";"2";164;5887;32;85;33046;98505;50425;6560;7741;67376;11112;282495;87782;2956;222373;34897;1709;29430;10765;503;55;1548028;3265;2189;2255;624;998849;26674;577;13116;586406;170;201;1267;477
"36";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B1M.D";"Sample";NA;2017-06-23 21:03:00;"CO10B1m";"CO";"10";"Rip";"1";91;3234;169;221;17461;63850;37775;6020;17862;59219;9843;319808;98398;4273;210050;35900;1608;29915;14245;744;757;41399;67472;2406;2417;703;1198557;30241;508;16361;461315;168;671;1944;597
"37";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B2M.D";"Sample";NA;2017-06-23 21:49:00;"OO02B2m";"OO";"02";"Rip";"2";92;2745;194;345;22031;57311;32632;6746;10956;53326;8818;408916;75220;2004;197116;33135;1366;27235;14224;55;216;29740;87475;3573;3552;1970;2474322;24578;448;30440;447333;78;629;1275;253
"38";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C3M.D";"Sample";NA;2017-06-23 22:35:00;"OO02C3m";"OO";"02";"Fzo";"3";170;6580;20;246;18971;73449;36722;6608;9318;48374;9048;188682;62243;1555;152931;28887;1195;21365;8165;47;60;607195;37751;80;1488;449;579726;14288;205;4553;340676;1401;275;909;453
"39";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A1M.D";"Sample";NA;2017-06-23 23:21:00;"OO04A1m";"OO";"04";"Ara";"1";75;2719;22;30;5967;33767;15745;2893;4876;24231;3637;108000;36030;980;91827;15399;846;12311;3455;18;260;425533;19026;677;676;104;374820;11059;121;3695;190114;83;60;544;1190
"40";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A2M.D";"Sample";NA;2017-06-24 00:07:00;"CO09A2m";"CO";"09";"Ara";"2";110;6920;42;466;31792;65036;30551;4821;10080;39342;6888;240034;61177;1780;155113;24055;989;18454;7665;31;21;1156181;42197;1668;1676;584;753611;15369;192;4395;288384;83;309;393;374
"41";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C1M.D";"Sample";NA;2017-06-24 00:53:00;"OO04C1m";"OO";"04";"Fzo";"1";183;17236;529;92;85230;108034;65828;11375;19082;70252;11440;462504;76490;3785;153248;27379;2105;24421;12008;52;34;1336100;59873;2448;2454;1519;1630977;23152;222;18232;268939;96;454;1104;795
"42";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A3M.D";"Sample";NA;2017-06-24 01:39:00;"OO04A3m";"OO";"04";"Ara";"3";65;2737;331;12100;23034;45477;23001;4894;8877;36034;6691;250488;55406;1430;88356;20745;894;14470;5016;42;240;31675;50967;1983;1926;603;758587;13997;176;6979;439997;126;200;1057;846
"43";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A2M.D";"Sample";NA;2017-06-24 02:25:00;"OO02A2m";"OO";"02";"Ara";"2";92;2374;15;289;8390;49504;27753;7724;7679;45129;10577;184377;73293;1395;136547;30208;1330;24935;8882;241;22;30642;46153;1774;1737;460;752928;19037;336;5312;325315;141;355;591;3206
"44";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C3MR.D";"Sample";NA;2017-06-24 03:11:00;"CO09C3m";"CO";"09";"Fzo";"3";39;7715;18;212;16657;66087;34382;5528;10577;42366;5621;177276;58564;2695;65216;22645;1235;19526;7046;337;14;1148747;40963;1539;1524;439;714417;19582;154;13483;319744;50;337;200;622
"45";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C1MR.D";"Sample";NA;2017-06-24 03:57:00;"CO09C1m";"CO";"09";"Fzo";"1";88;2112;12;682;7775;4246;9366;1114;5153;15016;2018;68342;20095;883;56330;6938;589;6037;2160;16;70;1491382;14596;630;490;107;269466;5110;76;5613;143908;14;111;314;570
"46";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B1 M.D";"Sample";NA;2017-06-26 09:53:00;"OO02B1m";"OO";"02";"Rip";"1";86;413;33;1147;230;81268;2122;134;685;115;2162;72282;3912;867;22677;2376;142;7543;801;70;27;435584;147447;21;126;17;796098;25397;43;913;756;59;1594;7202;1726660
"47";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B1 RICORSO M.D";"Sample";NA;2017-06-26 10:38:00;"OO02B1m";"OO";"02";"Rip";"1";22;267;52;92;522;3685;2250;45;255;457;987;2681;7409;269;55223;701;79;162;136;42;16;8468;5215;9;10;14;104815;49674;12;533;31025;109;21;3156;888
