"";"";"";"Name";"Data File";"Type";"Level";"Acq. Date-Time";"i-C14:0";"a-C14:0";"C14:0";"i-C15:0";"a-C15:0";"bohMe C16:0";"C15:0";"ribohMe C16:0";"i-C16:0";"7Me C17:0";"C16:0";"bohMe C17:0 sul284";"bohMe C17:0 ";"C16:1omega7";"ribohMe C17:0";"C16:1 omega5 ";"i-C17:0";"a-C17:0";"10Me C18:0";"C17:0";"bohMe C18:0";"C17delta";"unk 126";"C17:1 omega 9";"C18:0";"2-OH C14:0";"bohMe C19:0";"C18:1 omega 9 cis";"C18:1 omega 9trans e 7cis";"boh C18:1";"C18:2";"3-OH C14:0";"C19:0";"C19:0 delta";"C20:0";"2-OH C16:0";"C20:2";"cis-11.14-Eicosadienoic acid methyl ester"
"21";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"21-10C2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 18:14";0.4453;0;0.7503;4.1534;4.3514;1.9294;0.5723;1.798;4.1009;0.5416;7.9406;8.2955;2.5936;0.222;2.7034;0.1652;1.8476;1.4353;8.7006;0.606;1.4393;3.9792;2.0747;0.0037;59.1566;1.15;3.0319;5.8742;0.8726;1.0275;1.0696;0.1676;20.8585;0.2058;5.2945;1.5973;0.8644;0.4047
"22";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"22-9A1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 19:00";0.087;0;0.2918;1.8635;0.7307;1.7712;0.2003;1.7547;0.4843;0.2085;5.0785;3.1421;0.8048;0.1839;0.9353;0.1984;0.6032;0.5472;2.3327;0.3168;0.5309;0.4114;1.8018;0.0038;50.7424;1.1516;2.957;8.0128;0.9573;1.2613;4.9718;0.1758;16.3443;0.1586;2.9954;0.9591;0.6399;0.2471
"23";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"23-10B1 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 19:46";0.2484;0;0.5034;2.883;2.3528;1.8259;0.3096;1.7642;1.9618;0.3346;6.3672;5.1334;1.396;0.1642;1.5799;0.2085;1.2499;1.0453;5.1811;0.4475;0.9003;2.7492;1.4675;0.0011;24.3985;1.2253;3.4089;10.8006;1.1402;0.6979;6.7968;0.2752;28.14;0.1691;3.9295;1.2458;0.775;0.2554
"24";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"24-2A3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 20:32";0.4367;0;0.7679;4.901;4.8189;1.9666;0.5812;1.8182;4.9435;0.6631;9.2189;11.9935;3.8969;0.1571;1.9215;0.1919;2.2577;1.6685;11.7025;0.6883;2.215;4.7147;1.3799;0.0013;42.1265;1.2374;3.7256;11.557;1.1159;0.8809;7.7161;0.1913;28.0015;0.2001;5.6515;1.8313;1.0479;0.2568
"25";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"25-2C3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 21:18";0.1787;0;0.6499;2.4294;1.6656;1.8117;0.3963;1.7576;1.1909;0.2198;6.0051;3.7158;0.7509;0.157;0.7319;0.1583;0.6286;0.5288;3.5385;0.2879;0.8066;1.305;1.1579;0.0034;12.9559;1.8267;3.2444;10.6589;1.0862;0.9595;6.8844;0.2068;25.027;0.1924;2.4963;1.3564;0.7797;0.3415
"26";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"26-4B3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 22:04";0.4315;0;0.9373;4.4649;4.472;1.9716;0.6625;1.8159;4.5692;0.641;9.5304;10.8892;3.6317;0.2684;2.0051;0.2152;2.3086;1.7837;11.9279;0.7128;2.1564;6.0615;2.8476;7e-04;21.0705;2.893;3.8208;11.4781;1.4187;0.899;7.9926;0.1651;29.8834;0.1699;5.6283;1.2853;1.2577;0.2987
"27";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"27-4C2 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 22:51";0.4453;0;1.8967;4.7477;5.2041;1.9874;1.3977;1.855;5.2441;0.5754;11.9438;11.6025;4.6944;0.1831;3.5757;0.1834;2.4028;1.8897;12.6704;0.993;2.2266;5.6372;1.5339;0.0028;30.7014;2.5114;4.1994;14.6316;1.2109;1.2202;7.5811;0.1847;29.7983;0.22;7.4201;0.8963;1.1427;0.3445
"28";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"28-2B3 COLONNA TAGLIATA.D";"Sample";NA;"28/09/2017 23:38";0.1741;0;0.2428;2.5259;1.9417;1.7959;0.2801;1.7609;1.932;0.2655;5.8255;3.872;0.8274;0.3109;0.6717;0.1712;0.7661;0.77;4.0955;0.4429;1.0316;2.1905;1.7307;5e-04;16.1236;1.9234;3.44;10.0438;1.0456;1.5609;6.9393;0.1765;29.537;0.2267;3.6834;1.1366;0.771;0.2879
"29";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"29-2A1 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 00:25";0.0403;0;0.1729;1.7813;0.6778;1.7773;0.1701;1.7609;0.7638;0.2309;4.6831;3.5962;0.9001;0.1783;0.9884;0.1782;0.8232;0.6651;3.1701;0.3185;0.78;0.983;1.6025;1e-04;15.4079;1.0951;3.2009;9.5329;0.9124;0.8403;5.9759;0.1758;22.2075;0.3723;2.6603;0.8211;0.6703;0.2567
"30";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"30-10B3 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 01:13";0.1939;0;0.4099;2.9244;2.425;1.8354;0.315;1.7868;2.5369;0.3557;6.2087;5.3574;1.6159;0.3081;2.7803;0.1813;1.3326;1.0909;4.7835;0.4707;1.0207;2.2225;2.2184;0.0169;12.6743;2.1876;3.2666;9.5159;0.9775;2.4384;6.1152;0.1563;22.8937;0.1766;3.2656;1.5827;0.632;0.2977
"31";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"31-4A1 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 02:00";0.0583;0;0.2031;1.8556;0.6723;1.7662;0.2004;1.745;0.6868;0.239;4.8028;3.4274;0.928;0.1741;1.3324;0.1826;0.4452;0.6835;2.6873;0.312;0.6596;0;1.295;0.002;14.1653;1.4099;3.0473;8.3417;1.0368;2.6065;5.4929;0.1605;22.088;0.1294;2.6052;1.1099;0.7735;0.2394
"32";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"32-4B2 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 02:46";0.0947;0;0.3455;2.7621;2.0191;1.834;0.4341;1.7643;3.0692;0.4452;7.8122;7.6982;2.4527;0.3797;1.455;0.1731;1.5834;1.1985;6.9933;0.5429;1.4;2.8803;2.166;0.003;68.2704;1.2375;3.217;7.386;1.0651;2.2539;1.2853;0.1885;26.5861;0.2575;5.2162;0.7882;0.6429;0.2727
"33";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"33-4A2 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 03:31";0.0391;0;0.12;1.5887;0.2229;1.7638;0.1112;1.7389;0.3509;0.2006;3.5304;3.2362;0.8486;0.1752;1.4901;0.1884;0.5625;0.4605;2.8385;0.2719;0.5652;1.2676;1.5715;0.003;20.6611;1.3609;2.7126;4.9194;0.7891;0.9859;3.2515;0.1698;10.0929;0.3218;1.6736;0.7665;0.6048;0.2481
"34";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"34-10A2 COLONNA TAGLIATA.D";"Sample";NA;"29/09/2017 04:19";0.1321;0;0.3612;3.1017;2.6274;1.8837;0.3809;1.7795;3.2065;0.4722;6.5956;7.229;2.3299;0.1783;2.7083;0.176;1.578;1.2586;7.602;0.5259;1.5085;3.8389;1.4143;0.002;14.8065;2.0516;3.3402;7.9287;1.1828;1.248;5.2745;0.1775;21.8264;0.2084;3.9286;0.9276;0.626;0.2513
