"";"MH1";"MH2";"Name";"Data.File";"Type";"Level";"Acq.Date.Time";"STAGIONE";"STRINGA";"MAN";"FIELD";"TIL";"PARC";"12MetC14.0.on.242";"12MetC14.0.on.TIC";"11MetC14.0.on.242";"11MetC14.0.on.TIC";"00LinC14.0";"13MetC15.0";"12MetC15.0";"08MetC15.0";"00LinC15.0";"14MetC16.0";"12EthC16.0";"00Linc16.0";"12EthC17.0";"00LinC16.1";"15MetC17.0.on.TIC";"15MetC17.0";"00LinC16.1.om5.UNK";"14MetC17.0";"12ProC18.0";"02HydC16.0";"00LinC17.0";"00LinC17.2.9.10CIS";"00LinC17.1.om9";"10MetC17.0.on.TIC";"10MetC17.0.on.74";"10MetC17.0";"00LinC18.0";"18MetC19.0";"00LinC18.1.om6.CISTRANS";"10MetC18.0.on.TIC";"10MetC18.0.on.74";"00LinC18.1.om5";"00LinC18.2";"00LinC19.0";"00LinC19.0.delta";"00LinC20.0";"00LinC20.2";"00LinC20.2.11.14CIS";"SOMMA.AREE"
"33";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A1M.D";"Sample";NA;2017-06-23 18:45:00;"Aut";"CO09A1m";"CO";"09";"Ara";"1";69;6567;50;0;29975;86525;41407;8761;13474;52883;10383;362235;85045;1158;201184;32823;1614;24162;49610;98;11662;364;60;3474;20;4;2616;594;980;1095;77;249;43658;613937;1895;603;109;1184;1690604
"34";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10C2M.D";"Sample";NA;2017-06-23 19:31:00;"Aut";"CO10C2m";"CO";"10";"Fzo";"2";85;10149;49;22;53001;105937;65061;9523;19268;85637;11804;595894;113643;2165;280500;47526;2352;41035;55350;136;16968;717;758;2480;597;19;5082;657;2853;655;59;751;37418;489033;2567;979;154;165;2061049
"35";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C2M.D";"Sample";NA;2017-06-23 20:17:00;"Aut";"OO04C2m";"OO";"04";"Fzo";"2";164;5887;32;85;33046;98505;50425;6560;7741;67376;11112;282495;87782;1649;222373;34897;1709;29430;47748;40;10765;542;55;1855;160;21;2255;623;633;6711;190;577;13116;586406;1451;410;86;477;1615389
"36";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO10B1M.D";"Sample";NA;2017-06-23 21:03:00;"Aut";"CO10B1m";"CO";"10";"Rip";"1";91;3234;21;76;17461;63850;37775;6020;17862;59219;9843;319808;98398;1736;210050;35900;1608;29915;50609;33;14245;200;757;3259;93;7;2417;523;695;1244;35;508;16361;461315;1762;671;88;597;1468286
"37";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B2M.D";"Sample";NA;2017-06-23 21:49:00;"Aut";"OO02B2m";"OO";"02";"Rip";"2";92;2745;7;83;22031;57311;32632;6746;10956;53326;8818;408916;75220;784;197116;33135;1366;27235;45632;366;14224;146;216;1723;28;0;3552;558;1970;628;32;448;30440;447333;1459;629;105;253;1488261
"38";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2C3M.D";"Sample";NA;2017-06-23 22:35:00;"Aut";"OO02C3m";"OO";"02";"Fzo";"3";170;6580;20;133;18971;73449;36722;6608;9318;48374;9048;188682;62243;710;152931;28887;1195;21365;37874;121;8165;229;60;710;150;16;1488;290;449;1196;0;205;4553;340676;1401;275;909;453;1064626
"39";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A1M.D";"Sample";NA;2017-06-23 23:21:00;"Aut";"OO04A1m";"OO";"04";"Ara";"1";75;2719;22;30;5967;33767;15745;2893;4876;24231;3637;108000;36030;549;91827;15399;846;12311;20791;83;3455;265;260;1692;6;9;676;154;104;679;31;121;3695;190114;627;161;544;62;582453
"40";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9A2M.D";"Sample";NA;2017-06-24 00:07:00;"Aut";"CO09A2m";"CO";"09";"Ara";"2";110;6920;42;82;31792;65036;30551;4821;10080;39342;6888;240034;61177;718;155113;24055;989;18454;30905;85;7665;120;21;1147;5;3;1676;269;584;2992;1;192;4395;288384;763;309;393;374;1036487
"41";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4C1M.D";"Sample";NA;2017-06-24 00:53:00;"Aut";"OO04C1m";"OO";"04";"Fzo";"1";183;17236;8;92;85230;108034;65828;11375;19082;70252;11440;462504;76490;3785;153248;27379;2105;24421;34958;45;12008;286;34;3395;33;6;2454;397;1503;4672;8;222;18232;268939;1050;454;71;795;1488254
"42";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO4A3M.D";"Sample";NA;2017-06-24 01:39:00;"Aut";"OO04A3m";"OO";"04";"Ara";"3";65;2737;5;32;23034;45477;23001;4894;8877;36034;6691;250488;55406;554;88356;20745;894;14470;26832;259;5016;116;240;3121;30;25;1926;197;603;1803;1;176;6979;439997;916;284;41;846;1071168
"43";"";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2A2M.D";"Sample";NA;2017-06-24 02:25:00;"Aut";"OO02A2m";"OO";"02";"Ara";"2";92;2374;15;110;8390;49504;27753;7724;7679;45129;10577;184377;73293;417;136547;30208;1330;24935;47906;97;8882;276;22;706;66;7;1737;245;460;1832;77;336;5312;325315;1379;355;591;3206;1009261
"44";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C3MR.D";"Sample";NA;2017-06-24 03:11:00;"Aut";"CO09C3m";"CO";"09";"Fzo";"3";39;7715;18;85;16657;66087;34382;5528;10577;42366;5621;177276;58564;1952;65216;22645;1235;19526;23056;45;7046;342;14;4796;100;9;1524;217;439;1784;3;286;13483;319744;936;337;200;622;910472
"45";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"CO9C1MR.D";"Sample";NA;2017-06-24 03:57:00;"Aut";"CO09C1m";"CO";"09";"Fzo";"1";88;2112;12;58;7775;4246;9366;1114;5153;15016;2018;68342;20095;512;56330;6938;589;6037;9623;49;2160;57;70;11059;26;5;490;133;107;278;64;76;5613;143908;219;111;314;570;380733
"46";"!";"!";"1 G SUOLO RIPRESO CON 200 UL EPTANO";"OO2B1 M.D";"Sample";NA;2017-06-26 09:53:00;"Aut";"OO02B1m";"OO";"02";"Rip";"1";86;149;25;30;177;81268;2122;134;685;115;2162;72282;3912;2026;22677;2376;142;7543;13047;360;801;90;27;645;24;21;212;90;17;475;70;43;913;756;48;4120;73;914;220657
