Sample;;;;;;;i-C14:0 sul 242 Results;i-C14:0 Results;a-C14:0 sul 242 Results;a-C14:0 Results;C14:0 Results;i-C15:0 Results;a-C15:0 Results;8MethylC15:0 Results;C15:0 Results;i-C16:0 Results;12EthylC16:0 Results;C16:0 Results;12EthylC17:0 Results;C16:1 Results;i-C17.0 sul tic  Results;i-C17:0 Results;C16:1 omega5  Results;a-C17:0 Results;2HydroxyC16:0 Results;C17:0 Results;cis 9,10 methylenehexadecanoate Results;C17:1 omega 9 Results;10MethylC17:0 sul tic Results;10MethylC17:0 sol 74 Results;10MethylC17:0 Results;C18:0 Results;C18:1 omega 6 cis e trans Results;10MethylC18:0 sul tic Results;10MethylC18:0 sul 74 Results;C18:1 omega 5 Results;C18 :2 Results;C19:0 Results;C19:0 delta Results;C20:0 Results;C20:2 Results;cis-11,14-Eicosadienoic acid methyl ester Results
;;Name;Data File;Type;Level;Acq. Date-Time;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area;Area
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C2M.D;Sample;;23/06/2017 19:31;85;10149;49;22;53001;105937;65061;9523;19268;85637;11804;595894;113643;2165;280500;47526;2352;41035;136;16968;717;38;1058181;125239;5088;5082;2816;3326648;41821;751;37418;489033;2567;979;2216;1178
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10C1M.D;Sample;;23/06/2017 05:23;109;7728;7;1;41407;78676;47362;7024;6059;56928;8774;353236;72210;2437;173420;28645;1511;29124;146;12164;516;88;503471;69425;2586;2596;733;1116950;25062;456;13687;501691;168;489;1238;497
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B3 M.D;Sample;;22/06/2017 19:25;72;26660;13;166;15858;28675;14341;1690;7226;22104;779;231307;38134;511;127265;18752;777;13537;85;8297;56;23;15049;5373;1852;1881;952;1469936;14397;313;6418;249290;32;206;790;714
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B3 M RICORSO.D;Sample;;22/06/2017 20:11;28;3139;20;69;24834;53172;30082;5423;9288;47773;7530;457800;72660;1568;110117;31679;1308;27178;192;12426;252;292;367810;107712;3354;3308;2123;2819400;28684;380;29817;453734;92;600;940;1120
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B2M.D;Sample;;23/06/2017 11:16;69;8329;8;52;31322;96178;52295;8712;14905;69472;10731;393317;98662;2107;223507;40826;2080;32485;321;14849;664;95;548252;84809;2900;2953;1475;1889948;27764;426;24189;649756;72;608;583;1344
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10B1M.D;Sample;;23/06/2017 21:03;91;3234;21;76;17461;63850;37775;6020;17862;59219;9843;319808;98398;1736;210050;35900;1608;29915;33;14245;200;757;41399;67472;2406;2417;703;1198557;30241;508;16361;461315;168;671;1944;597
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A3M.D;Sample;;23/06/2017 08:28;60;2289;29;70;14069;39353;20783;4587;4642;32941;5444;239938;54569;936;94838;22877;1026;16367;54;7752;132;87;200722;49725;1664;1671;622;958417;9134;138;10096;276733;97;284;473;1502
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A2M.D;Sample;;23/06/2017 06:56;38;808;16;30;5764;17601;9343;1902;3207;17945;3425;137433;30724;423;53041;11847;436;9931;58;5029;76;58;10772;33975;1273;1289;339;510831;7869;73;4718;283899;34;185;374;301
;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO10A1M.D;Sample;;23/06/2017 15:03;79;11330;34;201;65433;89363;45830;5355;9056;53771;9526;343809;71959;1699;171503;26439;1354;20115;51;10174;501;22;1675757;57708;2392;2397;1003;1333143;17154;285;13254;446166;58;423;1007;2951
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C3MR.D;Sample;;24/06/2017 03:11;39;7715;18;85;16657;66087;34382;5528;10577;42366;5621;177276;58564;1952;65216;22645;1235;19526;45;7046;342;14;1148747;40963;1539;1524;439;714417;19582;286;13483;319744;50;337;200;622
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C2M.D;Sample;;23/06/2017 02:19;159;12088;4;114;46376;91352;50837;8166;14256;57929;9096;330034;75520;1863;106614;28056;1563;25085;113;12376;565;101;814662;63826;2405;2418;834;1048797;26654;401;23423;390760;119;371;907;824
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1MR.D;Sample;;24/06/2017 03:57;88;2112;12;58;7775;4246;9366;1114;5153;15016;2018;68342;20095;512;56330;6938;589;6037;49;2160;57;70;1491382;14596;630;490;107;269466;5110;76;5613;143908;14;111;314;570
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M.D;Sample;;23/06/2017 00:01;72;11711;55;242;45736;106133;57909;8919;17970;73331;9900;394095;92331;1692;191134;35390;1715;30296;64;14754;667;180;724938;82912;2735;2716;659;1238211;24905;433;19437;439222;132;558;304;2080
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9C1M FORSE.D;Sample;;23/06/2017 12:47;49;3017;65;152;15135;48250;26262;5058;8439;41299;6248;211968;57646;1663;145187;23915;1033;20600;67;9399;357;53;30175;46043;1813;1768;577;881991;23108;334;13254;394164;161;472;450;1333
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B3M.D;Sample;;23/06/2017 10:31;100;17096;97;163;74708;120174;84610;12866;17657;77043;12877;925136;109763;2214;215996;40377;2696;34548;20;17720;930;393;1410420;144501;5228;5247;2711;2923975;32271;595;50195;608618;109;809;735;377
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B2M.D;Sample;;23/06/2017 00:47;59;863;29;136;5996;29054;16342;3210;6107;32417;5326;204849;55566;792;109787;24676;871;18947;151;9580;211;80;14830;52711;1941;1846;510;793068;19543;206;13115;406969;56;212;4146;451
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9B1 M.D;Sample;;22/06/2017 22:29;42;1914;37;185;25355;47706;28136;3100;10435;41541;5410;518928;69190;2558;95851;26002;1511;23076;46;15096;562;295;602995;120619;4108;4097;3035;3706007;34500;584;50382;537747;64;663;2011;3068
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A3M.D;Sample;;23/06/2017 13:32;131;4085;22;225;38527;68372;34698;7896;5171;39495;7469;439301;80752;1200;151001;29703;1255;22304;18;11011;305;15;261662;93416;3416;3435;2363;2741000;20223;178;24722;589538;77;674;1701;7629
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A2M.D;Sample;;24/06/2017 00:07;110;6920;42;82;31792;65036;30551;4821;10080;39342;6888;240034;61177;718;155113;24055;989;18454;85;7665;120;21;1156181;42197;1668;1676;584;753611;15369;192;4395;288384;83;309;393;374
!;!;1 G SUOLO RIPRESO CON 200 UL EPTANO;CO9A1M.D;Sample;;23/06/2017 18:45;69;6567;50;0;29975;86525;41407;8761;13474;52883;10383;362235;85045;1158;201184;32823;1614;24162;98;11662;364;60;897118;64344;2582;2616;1019;1310296;18834;249;43658;613937;115;603;1040;1184
